ID,Date,Operation Type (purchase / relocation),Product,Quantity,Cost Price,Total,Supplier,Store
80122,01.01.2017, Purchase, Phone Type 10, Samsung,4,263,1052,11
80122,01.01.2017, Purchase, Keyboard Type 3, HP,4,16,64,11
80122,01.01.2017, Purchase, Mouse Type 7, Huawei,3,8,24,11
80122,01.01.2017, Purchase, Headphones Type 3, HP,1,41,41,11
80122,01.01.2017, Purchase, Phone Type 12, Samsung,3,281,843,11
80122,01.01.2017, Purchase, Desktop Type 2, Samsung,1,279,279,11
80122,01.01.2017, Purchase, Speakers Type 3, Dell,5,49,245,11
80122,01.01.2017, Purchase, Desktop Type 1, Huawei,5,493,2465,11
80122,01.01.2017, Purchase, Tablet Type 3, Huawei,5,253,1265,11
80122,01.01.2017, Purchase, Phone Type 1, Samsung,3,233,699,11
80122,01.01.2017, Purchase, Tablet Type 7, Dell,4,207,828,11
80122,01.01.2017, Purchase, Phone Type 3, HP,2,381,762,11
80122,01.01.2017, Purchase, Speakers Type 3, HP,3,50,150,11
80122,01.01.2017, Purchase, Charger Type 1, Samsung,5,7,35,11
80122,01.01.2017, Purchase, Monitor Type 2, Huawei,5,102,510,11
80123,01.01.2017, Purchase, Headphones Type 2, Huawei,4,31,124,11
80123,01.01.2017, Purchase, Headphones Type 3, Samsung,1,36,36,11
80123,01.01.2017, Purchase, Desktop Type 6, Huawei,5,255,1275,11
80123,01.01.2017, Purchase, Hard Drive Type 2, Huawei,2,33,66,11
80123,01.01.2017, Purchase, Monitor Type 2, Samsung,3,80,240,11
80123,01.01.2017, Purchase, Mouse Type 6, HP,5,20,100,11
80123,01.01.2017, Purchase, Hard Drive Type 7, HP,4,121,484,11
80123,01.01.2017, Purchase, Memory Type 3, HP,4,39,156,11
80123,01.01.2017, Purchase, Mouse Type 2, HP,1,8,8,11
80123,01.01.2017, Purchase, Mouse Type 5, HP,2,13,26,11
80123,01.01.2017, Purchase, Desktop Type 2, HP,2,225,450,11
80123,01.01.2017, Purchase, Memory Type 3, Huawei,3,38,114,11
80123,01.01.2017, Purchase, Memory Type 2, Samsung,3,69,207,11
80123,01.01.2017, Purchase, Tablet Type 6, Dell,1,176,176,11
80123,01.01.2017, Purchase, Desktop Type 3, Huawei,2,163,326,11
80123,01.01.2017, Purchase, Microphone Type 2, Huawei,3,18,54,11
80124,01.01.2017, Purchase, Desktop Type 4, HP,1,373,373,11
80124,01.01.2017, Purchase, Speakers Type 7, HP,4,25,100,11
80124,01.01.2017, Purchase, Mouse Type 1, HP,2,5,10,11
80124,01.01.2017, Purchase, Keyboard Type 2, HP,3,13,39,11
80124,01.01.2017, Purchase, Speakers Type 3, Samsung,3,68,204,11
80124,01.01.2017, Purchase, Memory Type 4, HP,5,54,270,11
80124,01.01.2017, Purchase, Keyboard Type 4, Samsung,4,12,48,11
80124,01.01.2017, Purchase, Keyboard Type 1, Huawei,2,41,82,11
80124,01.01.2017, Purchase, Laptop Type 4, Dell,1,1701,1701,11
80124,01.01.2017, Purchase, Desktop Type 5, Samsung,1,319,319,11
80124,01.01.2017, Purchase, Speakers Type 6, Samsung,4,14,56,11
80124,01.01.2017, Purchase, Smart Watch Type 2, Samsung,5,161,805,11
80124,01.01.2017, Purchase, Tablet Type 4, HP,5,355,1775,11
80124,01.01.2017, Purchase, Headphones Type 4, Dell,1,20,20,11
80124,01.01.2017, Purchase, Phone Type 6, HP,5,341,1705,11
80124,01.01.2017, Purchase, Monitor Type 1, Dell,3,104,312,11
80124,01.01.2017, Purchase, Phone Type 6, Huawei,2,323,646,11
80124,01.01.2017, Purchase, Monitor Type 1, HP,1,104,104,11
80124,01.01.2017, Purchase, Hard Drive Type 1, HP,4,47,188,11
80124,01.01.2017, Purchase, Speakers Type 5, HP,5,72,360,11
80124,01.01.2017, Purchase, Mouse Type 2, Huawei,1,8,8,11
80124,01.01.2017, Purchase, Mouse Type 5, Huawei,2,12,24,11
80124,01.01.2017, Purchase, Mouse Type 4, Huawei,2,21,42,11
80124,01.01.2017, Purchase, Phone Type 11, Samsung,5,355,1775,11
80124,01.01.2017, Purchase, Keyboard Type 1, HP,2,33,66,11
80124,01.01.2017, Purchase, Microphone Type 3, Dell,2,39,78,11
80124,01.01.2017, Purchase, Speakers Type 7, Huawei,2,29,58,11
80125,01.01.2017, Purchase, Hard Drive Type 3, Huawei,4,55,220,11
80125,01.01.2017, Purchase, Tablet Type 4, Huawei,4,326,1304,11
80125,01.01.2017, Purchase, Headphones Type 1, Dell,4,51,204,11
80125,01.01.2017, Purchase, Headphones Type 6, Huawei,2,47,94,11
80125,01.01.2017, Purchase, Speakers Type 6, Huawei,4,16,64,11
80125,01.01.2017, Purchase, Phone Type 11, Dell,2,362,724,11
80125,01.01.2017, Purchase, Phone Type 3, Dell,2,310,620,11
80125,01.01.2017, Purchase, Tablet Type 1, Huawei,4,433,1732,11
80125,01.01.2017, Purchase, Tablet Type 2, HP,5,183,915,11
80125,01.01.2017, Purchase, Smart Watch Type 3, Samsung,2,140,280,11
80125,01.01.2017, Purchase, Charger Type 1, Huawei,4,7,28,11
80125,01.01.2017, Purchase, Microphone Type 1, Samsung,4,29,116,11
80125,01.01.2017, Purchase, Phone Type 4, HP,4,421,1684,11
80125,01.01.2017, Purchase, Laptop Type 1, HP,5,749,3745,11
80126,01.01.2017, Purchase, Mouse Type 5, Dell,1,10,10,11
80126,01.01.2017, Purchase, Phone Type 12, Huawei,1,275,275,11
80126,01.01.2017, Purchase, Keyboard Type 1, Dell,3,33,99,11
80126,01.01.2017, Purchase, Keyboard Type 4, Dell,5,16,80,11
80126,01.01.2017, Purchase, Hard Drive Type 1, Dell,3,36,108,11
80126,01.01.2017, Purchase, Mouse Type 6, Dell,1,22,22,11
80126,01.01.2017, Purchase, Hard Drive Type 8, HP,2,75,150,11
80126,01.01.2017, Purchase, Memory Type 2, Huawei,2,85,170,11
80126,01.01.2017, Purchase, Phone Type 6, Samsung,2,327,654,11
80126,01.01.2017, Purchase, Tablet Type 1, HP,1,341,341,11
80126,01.01.2017, Purchase, Speakers Type 6, HP,5,14,70,11
80117,01.01.2017, Purchase, Phone Type 9, HP,0,246,738,11
80117,01.01.2017, Purchase, Headphones Type 6, HP,4,39,156,11
80117,01.01.2017, Purchase, Hard Drive Type 4, HP,0,59,59,11
80117,01.01.2017, Purchase, Smart Watch Type 1, HP,0,264,528,11
80117,01.01.2017, Purchase, Hard Drive Type 4, Dell,0,61,305,11
80117,01.01.2017, Purchase, Keyboard Type 3, Dell,2,17,34,11
80117,01.01.2017, Purchase, Smart Watch Type 2, Dell,2,154,308,11
80117,01.01.2017, Purchase, Tablet Type 1, Dell,1,330,1650,11
80117,01.01.2017, Purchase, Memory Type 1, HP,4,33,132,11
80117,01.01.2017, Purchase, Speakers Type 4, Huawei,4,46,184,11
80117,01.01.2017, Purchase, Desktop Type 7, Dell,4,447,1788,11
80117,01.01.2017, Purchase, Laptop Type 6, Huawei,3,855,2565,11
80117,01.01.2017, Purchase, Speakers Type 2, Huawei,2,42,84,11
80117,01.01.2017, Purchase, Desktop Type 5, Dell,0,231,231,11
80117,01.01.2017, Purchase, Headphones Type 4, Samsung,0,27,135,11
80117,01.01.2017, Purchase, Speakers Type 1, Huawei,4,50,200,11
80117,01.01.2017, Purchase, Mouse Type 7, Dell,0,10,30,11
80117,01.01.2017, Purchase, Tablet Type 7, Huawei,0,168,336,11
80117,01.01.2017, Purchase, Tablet Type 1, Samsung,3,370,1110,11
80117,01.01.2017, Purchase, Laptop Type 3, Huawei,0,1466,1466,11
80117,01.01.2017, Purchase, Desktop Type 6, HP,4,336,1344,11
80117,01.01.2017, Purchase, Headphones Type 2, Samsung,4,37,148,11
80117,01.01.2017, Purchase, Monitor Type 4, HP,0,146,146,11
80117,01.01.2017, Purchase, Phone Type 7, Huawei,1,387,387,11
80117,01.01.2017, Purchase, Memory Type 4, Huawei,0,50,100,11
80117,01.01.2017, Purchase, Speakers Type 3, Huawei,0,71,213,11
80117,01.01.2017, Purchase, Smart Watch Type 3, HP,3,132,660,11
80117,01.01.2017, Purchase, Memory Type 4, Samsung,3,53,159,11
80118,01.01.2017, Purchase, Phone Type 9, Dell,3,258,774,11
80118,01.01.2017, Purchase, Tablet Type 4, Samsung,0,342,1710,11
80118,01.01.2017, Purchase, Speakers Type 5, Huawei,0,61,61,11
80118,01.01.2017, Purchase, Phone Type 4, Dell,1,336,336,11
80118,01.01.2017, Purchase, Phone Type 9, Huawei,1,261,783,11
80118,01.01.2017, Purchase, Phone Type 7, HP,0,402,402,11
80118,01.01.2017, Purchase, Headphones Type 2, HP,0,33,33,11
80118,01.01.2017, Purchase, Memory Type 3, Samsung,0,29,87,11
80118,01.01.2017, Purchase, Hard Drive Type 1, Samsung,0,48,144,11
80118,01.01.2017, Purchase, Desktop Type 8, HP,0,374,1122,11
80118,01.01.2017, Purchase, Desktop Type 10, HP,1,315,315,11
80118,01.01.2017, Purchase, Hard Drive Type 2, HP,0,34,68,11
80118,01.01.2017, Purchase, Charger Type 2, HP,0,9,18,11
80118,01.01.2017, Purchase, Desktop Type 12, Huawei,0,168,336,11
80118,01.01.2017, Purchase, Desktop Type 4, Huawei,2,360,720,11
80118,01.01.2017, Purchase, Phone Type 2, Samsung,4,208,832,11
80118,01.01.2017, Purchase, Desktop Type 9, Huawei,2,432,864,11
80118,01.01.2017, Purchase, Desktop Type 11, HP,5,298,1490,11
80118,01.01.2017, Purchase, Mouse Type 2, Samsung,0,7,14,11
80118,01.01.2017, Purchase, Microphone Type 3, Samsung,0,31,31,11
80118,01.01.2017, Purchase, Hard Drive Type 8, Samsung,0,92,276,11
80119,01.01.2017, Purchase, Headphones Type 3, Huawei,0,42,42,11
80119,01.01.2017, Purchase, Mouse Type 1, Huawei,0,4,8,11
80119,01.01.2017, Purchase, Desktop Type 1, HP,1,406,406,11
80119,01.01.2017, Purchase, Phone Type 1, Dell,1,215,215,11
80120,01.01.2017, Purchase, Desktop Type 7, HP,5,406,2030,11
80120,01.01.2017, Purchase, Monitor Type 2, HP,1,76,76,11
80120,01.01.2017, Purchase, Desktop Type 1, Dell,2,419,1676,11
80120,01.01.2017, Purchase, Memory Type 2, Dell,0,82,82,11
80120,01.01.2017, Purchase, Monitor Type 4, Dell,1,148,148,11
80121,01.01.2017, Purchase, Speakers Type 4, HP,0,46,92,11
80121,01.01.2017, Purchase, Mouse Type 3, HP,0,12,12,11
80121,01.01.2017, Purchase, Keyboard Type 2, Samsung,0,13,26,11
80121,01.01.2017, Purchase, Phone Type 12, HP,4,345,1725,11
80121,01.01.2017, Purchase, Hard Drive Type 6, HP,0,77,77,11
80122,01.01.2017, Purchase, Monitor Type 3, Dell,0,133,665,11
80122,01.01.2017, Purchase, Speakers Type 7, Dell,0,29,145,11
80122,01.01.2017, Purchase, Monitor Type 1, Huawei,3,116,348,11
80122,01.01.2017, Purchase, Smart Watch Type 1, Huawei,0,195,390,11
80122,01.01.2017, Purchase, Phone Type 10, Samsung,1,263,1052,11
80122,01.01.2017, Purchase, Keyboard Type 3, HP,4,16,64,11
80122,01.01.2017, Purchase, Mouse Type 7, Huawei,0,8,24,11
80122,01.01.2017, Purchase, Headphones Type 3, HP,0,41,41,11
80122,01.01.2017, Purchase, Phone Type 12, Samsung,3,281,843,11
80122,01.01.2017, Purchase, Desktop Type 2, Samsung,0,279,279,11
80122,01.01.2017, Purchase, Speakers Type 3, Dell,0,49,245,11
80122,01.01.2017, Purchase, Desktop Type 1, Huawei,0,493,2465,11
80122,01.01.2017, Purchase, Tablet Type 3, Huawei,4,253,1265,11
80122,01.01.2017, Purchase, Phone Type 1, Samsung,3,233,699,11
80122,01.01.2017, Purchase, Tablet Type 7, Dell,3,207,828,11
80122,01.01.2017, Purchase, Phone Type 3, HP,2,381,762,11
80122,01.01.2017, Purchase, Speakers Type 3, HP,3,50,150,11
80122,01.01.2017, Purchase, Charger Type 1, Samsung,5,7,35,11
80122,01.01.2017, Purchase, Monitor Type 2, Huawei,5,102,510,11
80123,01.01.2017, Purchase, Headphones Type 2, Huawei,4,31,124,11
80123,01.01.2017, Purchase, Headphones Type 3, Samsung,1,36,36,11
80123,01.01.2017, Purchase, Desktop Type 6, Huawei,0,255,1275,11
80123,01.01.2017, Purchase, Hard Drive Type 2, Huawei,0,33,66,11
80123,01.01.2017, Purchase, Monitor Type 2, Samsung,3,80,240,11
80123,01.01.2017, Purchase, Mouse Type 6, HP,0,20,100,11
80123,01.01.2017, Purchase, Hard Drive Type 7, HP,0,121,484,11
80123,01.01.2017, Purchase, Memory Type 3, HP,1,39,156,11
80123,01.01.2017, Purchase, Mouse Type 2, HP,0,8,8,11
80123,01.01.2017, Purchase, Mouse Type 5, HP,0,13,26,11
80123,01.01.2017, Purchase, Desktop Type 2, HP,2,225,450,11
80123,01.01.2017, Purchase, Memory Type 3, Huawei,0,38,114,11
80123,01.01.2017, Purchase, Memory Type 2, Samsung,0,69,207,11
80123,01.01.2017, Purchase, Tablet Type 6, Dell,1,176,176,11
80123,01.01.2017, Purchase, Desktop Type 3, Huawei,2,163,326,11
80123,01.01.2017, Purchase, Microphone Type 2, Huawei,0,18,54,11
80124,01.01.2017, Purchase, Desktop Type 4, HP,0,373,373,11
80124,01.01.2017, Purchase, Speakers Type 7, HP,0,25,100,11
80124,01.01.2017, Purchase, Mouse Type 1, HP,2,5,10,11
80124,01.01.2017, Purchase, Keyboard Type 2, HP,3,13,39,11
80124,01.01.2017, Purchase, Speakers Type 3, Samsung,3,68,204,11
80124,01.01.2017, Purchase, Memory Type 4, HP,5,54,270,11
80124,01.01.2017, Purchase, Keyboard Type 4, Samsung,0,12,48,11
80124,01.01.2017, Purchase, Keyboard Type 1, Huawei,0,41,82,11
80124,01.01.2017, Purchase, Laptop Type 4, Dell,0,1701,1701,11
80124,01.01.2017, Purchase, Desktop Type 5, Samsung,1,319,319,11
80124,01.01.2017, Purchase, Speakers Type 6, Samsung,3,14,56,11
80124,01.01.2017, Purchase, Smart Watch Type 2, Samsung,0,161,805,11
80124,01.01.2017, Purchase, Tablet Type 4, HP,5,355,1775,11
80124,01.01.2017, Purchase, Headphones Type 4, Dell,1,20,20,11
80124,01.01.2017, Purchase, Phone Type 6, HP,0,341,1705,11
80124,01.01.2017, Purchase, Monitor Type 1, Dell,3,104,312,11
80124,01.01.2017, Purchase, Phone Type 6, Huawei,0,323,646,11
80124,01.01.2017, Purchase, Monitor Type 1, HP,1,104,104,11
80124,01.01.2017, Purchase, Hard Drive Type 1, HP,2,47,188,11
80124,01.01.2017, Purchase, Speakers Type 5, HP,5,72,360,11
80124,01.01.2017, Purchase, Mouse Type 2, Huawei,0,8,8,11
80124,01.01.2017, Purchase, Mouse Type 5, Huawei,0,12,24,11
80124,01.01.2017, Purchase, Mouse Type 4, Huawei,0,21,42,11
80124,01.01.2017, Purchase, Phone Type 11, Samsung,5,355,1775,11
80124,01.01.2017, Purchase, Keyboard Type 1, HP,0,33,66,11
80124,01.01.2017, Purchase, Microphone Type 3, Dell,2,39,78,11
80124,01.01.2017, Purchase, Speakers Type 7, Huawei,2,29,58,11
80125,01.01.2017, Purchase, Hard Drive Type 3, Huawei,0,55,220,11
80125,01.01.2017, Purchase, Tablet Type 4, Huawei,0,326,1304,11
80125,01.01.2017, Purchase, Headphones Type 1, Dell,4,51,204,11
80125,01.01.2017, Purchase, Headphones Type 6, Huawei,2,47,94,11
80125,01.01.2017, Purchase, Speakers Type 6, Huawei,0,16,64,11
80125,01.01.2017, Purchase, Phone Type 11, Dell,0,362,724,11
80125,01.01.2017, Purchase, Phone Type 3, Dell,0,310,620,11
80125,01.01.2017, Purchase, Tablet Type 1, Huawei,0,433,1732,11
80125,01.01.2017, Purchase, Tablet Type 2, HP,0,183,915,11
80125,01.01.2017, Purchase, Smart Watch Type 3, Samsung,0,140,280,11
80125,01.01.2017, Purchase, Charger Type 1, Huawei,2,7,28,11
80125,01.01.2017, Purchase, Microphone Type 1, Samsung,4,29,116,11
80125,01.01.2017, Purchase, Phone Type 4, HP,4,421,1684,11
80125,01.01.2017, Purchase, Laptop Type 1, HP,0,749,3745,11
80126,01.01.2017, Purchase, Mouse Type 5, Dell,0,10,10,11
80126,01.01.2017, Purchase, Phone Type 12, Huawei,0,275,275,11
80126,01.01.2017, Purchase, Keyboard Type 1, Dell,0,33,99,11
80126,01.01.2017, Purchase, Keyboard Type 4, Dell,1,16,80,11
80126,01.01.2017, Purchase, Hard Drive Type 1, Dell,0,36,108,11
80126,01.01.2017, Purchase, Mouse Type 6, Dell,1,22,22,11
80126,01.01.2017, Purchase, Hard Drive Type 8, HP,2,75,150,11
80126,01.01.2017, Purchase, Memory Type 2, Huawei,0,85,170,11
80126,01.01.2017, Purchase, Phone Type 6, Samsung,0,327,654,11
80126,01.01.2017, Purchase, Tablet Type 1, HP,0,341,341,11
80126,01.01.2017, Purchase, Speakers Type 6, HP,0,14,70,11
80259,01.06.2017, Purchase, Charger Type 2, HP,3,10,30,11
80259,01.06.2017, Purchase, Desktop Type 6, HP,3,234,702,11
80259,01.06.2017, Purchase, Desktop Type 5, Samsung,1,321,321,11
80259,01.06.2017, Purchase, Mouse Type 1, HP,5,4,20,11
80259,01.06.2017, Purchase, Headphones Type 4, Samsung,2,28,56,11
80259,01.06.2017, Purchase, Desktop Type 3, Huawei,3,147,441,11
80259,01.06.2017, Purchase, Monitor Type 1, Samsung,4,93,372,11
80259,01.06.2017, Purchase, Mouse Type 6, Samsung,2,17,34,11
80259,01.06.2017, Purchase, Headphones Type 1, Dell,3,51,153,11
80259,01.06.2017, Purchase, Phone Type 10, Dell,4,327,1308,11
80259,01.06.2017, Purchase, Speakers Type 7, Samsung,2,22,44,11
80259,01.06.2017, Purchase, Desktop Type 2, Samsung,4,279,1116,11
80260,01.06.2017, Purchase, Speakers Type 6, HP,4,14,56,11
80260,01.06.2017, Purchase, Desktop Type 7, HP,3,406,1218,11
80260,01.06.2017, Purchase, Monitor Type 2, HP,3,76,228,11
80260,01.06.2017, Purchase, Phone Type 8, HP,2,331,662,11
80260,01.06.2017, Purchase, Phone Type 1, Dell,3,257,771,11
80261,01.06.2017, Purchase, Laptop Type 3, Samsung,2,1586,3172,11
80261,01.06.2017, Purchase, Mouse Type 1, Dell,3,5,15,11
80261,01.06.2017, Purchase, Microphone Type 3, Huawei,1,43,43,11
80261,01.06.2017, Purchase, Mouse Type 3, HP,1,12,12,11
80261,01.06.2017, Purchase, Keyboard Type 4, HP,1,11,11,11
80261,01.06.2017, Purchase, Phone Type 10, HP,3,292,876,11
80261,01.06.2017, Purchase, Phone Type 1, Samsung,2,200,400,11
80261,01.06.2017, Purchase, Desktop Type 6, Dell,4,237,948,11
80261,01.06.2017, Purchase, Desktop Type 7, Samsung,2,443,886,11
80261,01.06.2017, Purchase, Laptop Type 2, Huawei,3,1753,5259,11
80261,01.06.2017, Purchase, Hard Drive Type 8, Dell,1,86,86,11
80261,01.06.2017, Purchase, Memory Type 4, Huawei,2,52,104,11
80262,01.06.2017, Purchase, Desktop Type 9, HP,5,564,2820,11
80262,01.06.2017, Purchase, Keyboard Type 2, HP,5,13,65,11
80262,01.06.2017, Purchase, Hard Drive Type 8, HP,3,76,228,11
80262,01.06.2017, Purchase, Mouse Type 1, Huawei,3,4,12,11
80262,01.06.2017, Purchase, Desktop Type 11, Samsung,2,335,670,11
80262,01.06.2017, Purchase, Keyboard Type 1, HP,4,39,156,11
80262,01.06.2017, Purchase, Desktop Type 6, Samsung,2,321,642,11
80262,01.06.2017, Purchase, Microphone Type 3, HP,1,39,39,11
80263,01.06.2017, Purchase, Microphone Type 2, Samsung,2,20,40,11
80263,01.06.2017, Purchase, Monitor Type 1, HP,2,94,188,11
80263,01.06.2017, Purchase, Speakers Type 6, Dell,2,12,24,11
80263,01.06.2017, Purchase, Tablet Type 5, Samsung,2,162,324,11
80263,01.06.2017, Purchase, Phone Type 12, Samsung,1,275,275,11
80263,01.06.2017, Purchase, Memory Type 4, Samsung,2,53,106,11
80263,01.06.2017, Purchase, Tablet Type 3, HP,4,201,804,11
80263,01.06.2017, Purchase, Smart Watch Type 1, HP,4,264,1056,11
80263,01.06.2017, Purchase, Phone Type 11, HP,4,401,1604,11
80263,01.06.2017, Purchase, Memory Type 2, Huawei,3,85,255,11
80263,01.06.2017, Purchase, Monitor Type 3, Dell,3,144,432,11
80263,01.06.2017, Purchase, Hard Drive Type 3, HP,1,54,54,11
80263,01.06.2017, Purchase, Desktop Type 10, Dell,3,318,954,11
80263,01.06.2017, Purchase, Laptop Type 5, Samsung,2,861,1722,11
80263,01.06.2017, Purchase, Laptop Type 2, HP,4,1437,5748,11
80264,01.06.2017, Purchase, Phone Type 5, Samsung,5,366,1830,11
80264,01.06.2017, Purchase, Keyboard Type 2, Huawei,1,12,12,11
80264,01.06.2017, Purchase, Mouse Type 4, Samsung,5,22,110,11
80264,01.06.2017, Purchase, Monitor Type 4, HP,2,126,252,11
80265,01.06.2017, Purchase, Desktop Type 5, Dell,5,266,1330,11
80265,01.06.2017, Purchase, Laptop Type 4, Samsung,2,1301,2602,11
80265,01.06.2017, Purchase, Hard Drive Type 2, Dell,2,29,58,11
80265,01.06.2017, Purchase, Laptop Type 4, Dell,5,1501,7505,11
80265,01.06.2017, Purchase, Hard Drive Type 3, Dell,5,54,270,11
80265,01.06.2017, Purchase, Laptop Type 1, Dell,3,641,1923,11
80265,01.06.2017, Purchase, Headphones Type 5, Dell,4,17,68,11
80265,01.06.2017, Purchase, Mouse Type 6, HP,1,20,20,11
80265,01.06.2017, Purchase, Mouse Type 4, Dell,3,16,48,11
80265,01.06.2017, Purchase, Memory Type 1, Huawei,2,48,96,11
80265,01.06.2017, Purchase, Memory Type 4, HP,3,59,177,11
80265,01.06.2017, Purchase, Desktop Type 4, Samsung,2,305,610,11
80265,01.06.2017, Purchase, Phone Type 7, Huawei,3,351,1053,11
80265,01.06.2017, Purchase, Desktop Type 12, Dell,1,197,197,11
80265,01.06.2017, Purchase, Phone Type 4, Samsung,3,437,1311,11
80265,01.06.2017, Purchase, Desktop Type 3, Samsung,1,131,131,11
80265,01.06.2017, Purchase, Desktop Type 8, HP,2,399,798,11
80265,01.06.2017, Purchase, Charger Type 1, Samsung,1,7,7,11
80265,01.06.2017, Purchase, Tablet Type 2, HP,5,183,915,11
80265,01.06.2017, Purchase, Mouse Type 2, Huawei,2,8,16,11
80265,01.06.2017, Purchase, Phone Type 4, Dell,5,340,1700,11
80265,01.06.2017, Purchase, Speakers Type 3, Dell,5,49,245,11
80265,01.06.2017, Purchase, Laptop Type 6, Samsung,3,1099,3297,11
80265,01.06.2017, Purchase, Headphones Type 6, Dell,4,34,136,11
80265,01.06.2017, Purchase, Desktop Type 6, Huawei,2,345,690,11
80265,01.06.2017, Purchase, Headphones Type 3, Samsung,1,37,37,11
